Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
UPF2	ENSG00000151461	"UPF2 regulator of nonsense mediated mRNA decay"	Q9HAU5	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 61: Non-specific - Transcription"	20.8	205.5	22.9	924233.8	716404.5		
UPF3A	ENSG00000169062	"UPF3A regulator of nonsense mediated mRNA decay"	Q9H1J1	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 67: Testis - Mixed function"	22.3	69.6	5.3			low	low
UPF3B	ENSG00000125351	"UPF3B regulator of nonsense mediated mRNA decay"	Q9BZI7	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 64: Non-specific - Transcription"	11.9	62.6	2.1			low	low
UPK3A	ENSG00000100373	"Uroplakin 3A"	O75631	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 25: Non-specific - Basic cellular processes"	32.8	0.0	0.0			"not detected"	"not detected"
UPK3BL1	ENSG00000267368	"Uroplakin 3B like 1"	B0FP48	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 81: Squamous epithelium - Keratinization"	29.9	0.0	0.0			"not detected"	"not detected"
UPK3BL2	ENSG00000284981	"Uroplakin 3B like 2"	E5RIL1	"Evidence at protein level"				"Cluster 81: Squamous epithelium - Keratinization"	8.3	0.0	0.0			"not detected"	"not detected"
UPP1	ENSG00000183696	"Uridine phosphorylase 1"	Q16831	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 81: Squamous epithelium - Keratinization"	2.0	0.4	1.6			"not detected"	"not detected"
UPRT	ENSG00000094841	"Uracil phosphoribosyltransferase homolog"	Q96BW1	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 76: Non-specific - Metabolism"	8.3	19.5	0.3	494686.6			
UQCC1	ENSG00000101019	"Ubiquinol-cytochrome c reductase complex assembly factor 1"	Q9NVA1	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 52: Non-specific - Cellular respiration"	100.1	49.8	0.2	6035862.1	1147298.9	low	low
UQCC2	ENSG00000137288	"Ubiquinol-cytochrome c reductase complex assembly factor 2"	Q9BRT2	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 52: Non-specific - Cellular respiration"	214.7	127.4	10.5	326963.6		medium	medium
UQCC3	ENSG00000204922	"Ubiquinol-cytochrome c reductase complex assembly factor 3"	Q6UW78	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 68: Non-specific - Basic cellular processes"	12.9	52.0	15.2	1579567.3	3477011.5	medium	medium
UQCR10	ENSG00000184076	"Ubiquinol-cytochrome c reductase, complex III subunit X"	Q9UDW1	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 52: Non-specific - Cellular respiration"	477.1	270.2	72.8	10188486.3	6450411.6		
UQCR11	ENSG00000127540	"Ubiquinol-cytochrome c reductase, complex III subunit XI"	O14957	"Evidence at protein level"			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 52: Non-specific - Cellular respiration"	292.4	170.3	52.2	497559.6	66827.6		
UQCRB	ENSG00000156467	"Ubiquinol-cytochrome c reductase binding protein"	P14927	"Evidence at protein level"			"Cluster 31: T-cells - T-cell receptor"	"Cluster 52: Non-specific - Cellular respiration"	1224.5	483.3	67.1	241967809.8	177350170.0	high	high
UQCRC1	ENSG00000010256	"Ubiquinol-cytochrome c reductase core protein 1"	P31930	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 52: Non-specific - Cellular respiration"	718.0	113.2	10.9	475130574.6	490583198.0	medium	medium
UQCRC2	ENSG00000140740	"Ubiquinol-cytochrome c reductase core protein 2"	P22695	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 52: Non-specific - Cellular respiration"	676.5	51.5	6.6	571958554.1	594012801.6	low	low
UQCRFS1	ENSG00000169021	"Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"	P47985	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 52: Non-specific - Cellular respiration"	216.9	108.7	21.6	619019024.4	526574804.1	high	high
UQCRH	ENSG00000173660	"Ubiquinol-cytochrome c reductase hinge protein"	P07919	"Evidence at protein level"			"Cluster 18: Non-specific - Translation"	"Cluster 52: Non-specific - Cellular respiration"	874.3	546.2	42.2			medium	medium
UQCRHL	ENSG00000233954	"Ubiquinol-cytochrome c reductase hinge protein like"	A0A096LP55	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 68: Non-specific - Basic cellular processes"	10.0	2.1	0.0			medium	medium
UQCRQ	ENSG00000164405	"Ubiquinol-cytochrome c reductase complex III subunit VII"	O14949	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 52: Non-specific - Cellular respiration"	972.9	316.0	30.4	176350385.0	82015467.9	low	low
URB1	ENSG00000142207	"URB1 ribosome biogenesis homolog"	O60287	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 24: Non-specific - Transcription"	8.3	47.8	0.0	2010779.1		medium	medium
URB2	ENSG00000135763	"URB2 ribosome biogenesis homolog"	Q14146	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 39: Testis - Nuclear processes"	6.4	30.3	0.0	156553.4			
URGCP	ENSG00000106608	"Upregulator of cell proliferation"	Q8TCY9	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 24: Non-specific - Transcription"	33.2	8.6	0.0	58470.1	738654.3	medium	medium
URI1	ENSG00000105176	"URI1 prefoldin like chaperone"	O94763	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 61: Non-specific - Transcription"	49.5	115.9	8.3			low	low
URM1	ENSG00000167118	"Ubiquitin related modifier 1"	Q9BTM9	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 68: Non-specific - Basic cellular processes"	24.5	43.3	12.2	2471608.5	243921.9	low	low
UROD	ENSG00000126088	"Uroporphyrinogen decarboxylase"	P06132	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 76: Non-specific - Metabolism"	73.6	350.4	140.1	1484737.2	1503008.0	"not detected"	"not detected"
UROS	ENSG00000188690	"Uroporphyrinogen III synthase"	P10746	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 25: Non-specific - Basic cellular processes"	78.5	234.9	39.4	598704.1	580882.1	medium	medium
USB1	ENSG00000103005	"U6 snRNA biogenesis phosphodiesterase 1"	Q9BQ65	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 68: Non-specific - Basic cellular processes"	15.0	11.3	3.2			low	low
USE1	ENSG00000053501	"Unconventional SNARE in the ER 1"	Q9NZ43	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Non-specific - Transcription"	53.7	25.6	0.5	791338.4	1333969.0	medium	medium
USF1	ENSG00000158773	"Upstream transcription factor 1"	P22415	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 66: Lymphoid tissue - Immune response"	28.5	9.4	3.0			high	high
USF2	ENSG00000105698	"Upstream transcription factor 2, c-fos interacting"	Q15853	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 25: Non-specific - Basic cellular processes"	337.0	48.7	3.4				
USF3	ENSG00000176542	"Upstream transcription factor family member 3"	Q68DE3	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 24: Non-specific - Transcription"	17.5	19.1	3.1			low	low
USHBP1	ENSG00000130307	"USH1 protein network component harmonin binding protein 1"	Q8N6Y0	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	6.2	13.5	9.0	32022.2			
USO1	ENSG00000138768	"USO1 vesicle transport factor"	O60763	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 63: Non-specific - Basic cellular processes"	207.7	52.7	2.4	30028017.1	66964333.8	low	low
USP1	ENSG00000162607	"Ubiquitin specific peptidase 1"	O94782	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 61: Non-specific - Transcription"	11.4	152.8	13.1			medium	medium
USP10	ENSG00000103194	"Ubiquitin specific peptidase 10"	Q14694	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	54.2	118.9	6.5	2243241.6	596513.9	medium	medium
USP11	ENSG00000102226	"Ubiquitin specific peptidase 11"	P51784	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 65: Brain - Transcription"	32.6	23.6	1.2	772532.6	8721405.3	"not detected"	"not detected"
USP12	ENSG00000152484	"Ubiquitin specific peptidase 12"	O75317	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	12.7	107.1	54.4			medium	medium
USP13	ENSG00000058056	"Ubiquitin specific peptidase 13"	Q92995	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 30: Skeletal muscle - Striated muscle contraction"	99.1	2.1	0.0	1148037.1	6862799.6	medium	medium
USP14	ENSG00000101557	"Ubiquitin specific peptidase 14"	P54578	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	49.9	230.7	21.6	27882696.9	52381032.8	low	low
USP15	ENSG00000135655	"Ubiquitin specific peptidase 15"	Q9Y4E8	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 15: Bone marrow - Innate immune response"	26.8	854.4	164.2	21661985.0	20981689.2	medium	medium
USP16	ENSG00000156256	"Ubiquitin specific peptidase 16"	Q9Y5T5	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 61: Non-specific - Transcription"	32.5	94.6	11.4			medium	medium
USP18	ENSG00000184979	"Ubiquitin specific peptidase 18"	Q9UMW8	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 45: Liver - Metabolism & Coagulation"	3.8	2.6	0.0			low	low
USP19	ENSG00000172046	"Ubiquitin specific peptidase 19"	O94966	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 63: Non-specific - Basic cellular processes"	62.0	11.0	3.6	1424512.9	871132.2		
USP2	ENSG00000036672	"Ubiquitin specific peptidase 2"	O75604	"Evidence at protein level"				"Cluster 25: Non-specific - Basic cellular processes"	157.6	0.3	0.0	138623.7	1022565.0	medium	medium
USP20	ENSG00000136878	"Ubiquitin specific peptidase 20"	Q9Y2K6	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 49: Non-specific - Transcription"	10.1	15.8	2.8			medium	medium
USP21	ENSG00000143258	"Ubiquitin specific peptidase 21"	Q9UK80	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 49: Non-specific - Transcription"	19.3	10.1	2.3			"not detected"	"not detected"
USP22	ENSG00000124422	"Ubiquitin specific peptidase 22"	Q9UPT9	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 25: Non-specific - Basic cellular processes"	102.5	100.9	8.9	117316.1		high	high
USP24	ENSG00000162402	"Ubiquitin specific peptidase 24"	Q9UPU5	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	43.5	308.7	16.9	6433880.4	9623715.0	"not detected"	"not detected"
USP25	ENSG00000155313	"Ubiquitin specific peptidase 25"	Q9UHP3	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 63: Non-specific - Basic cellular processes"	112.9	125.9	3.1	156400.3	2595865.5	high	high
USP27X	ENSG00000273820	"Ubiquitin specific peptidase 27 X-linked"	A6NNY8	"Evidence at protein level"				"Cluster 27: Cerebellum - Synaptic function"	4.2	1.6	0.0				
USP28	ENSG00000048028	"Ubiquitin specific peptidase 28"	Q96RU2	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 41: Striated muscle - Muscle contraction"	53.2	10.8	1.8	6874839.2	385371.1	low	low
USP3	ENSG00000140455	"Ubiquitin specific peptidase 3"	Q9Y6I4	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 61: Non-specific - Transcription"	4.7	148.8	11.3	194260.4			
USP30	ENSG00000135093	"Ubiquitin specific peptidase 30"	Q70CQ3	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 21: Testis - Mixed function"	9.4	7.6	0.1			high	high
USP31	ENSG00000103404	"Ubiquitin specific peptidase 31"	Q70CQ4	"Evidence at protein level"				"Cluster 67: Testis - Mixed function"	8.2	36.8	6.0			high	high
USP32	ENSG00000170832	"Ubiquitin specific peptidase 32"	Q8NFA0	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	32.5	353.6	38.8			"not detected"	"not detected"
USP33	ENSG00000077254	"Ubiquitin specific peptidase 33"	Q8TEY7	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 27: Cerebellum - Synaptic function"	17.1	115.6	12.3			medium	medium
USP34	ENSG00000115464	"Ubiquitin specific peptidase 34"	Q70CQ2	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 64: Non-specific - Transcription"	54.1	291.9	33.8	615346.1		low	low
USP35	ENSG00000118369	"Ubiquitin specific peptidase 35"	Q9P2H5	"Evidence at protein level"				"Cluster 4: Adrenal gland - Steroid metabolism"	3.8	0.5	0.0			high	high
USP36	ENSG00000055483	"Ubiquitin specific peptidase 36"	Q9P275	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 15: Bone marrow - Innate immune response"	20.5	52.1	0.8			low	low
USP37	ENSG00000135913	"Ubiquitin specific peptidase 37"	Q86T82	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 40: Non-specific - Mixed function"	2.6	91.7	13.0			"not detected"	"not detected"
USP38	ENSG00000170185	"Ubiquitin specific peptidase 38"	Q8NB14	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	6.8	58.0	14.9				
USP39	ENSG00000168883	"Ubiquitin specific peptidase 39"	Q53GS9	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 63: Non-specific - Basic cellular processes"	52.2	75.1	11.8	1842670.5	692159.2	medium	medium
USP4	ENSG00000114316	"Ubiquitin specific peptidase 4"	Q13107	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 44: Bone marrow - Nuclear processes"	29.4	56.2	7.0	1887830.4	550868.9	medium	medium
USP40	ENSG00000085982	"Ubiquitin specific peptidase 40"	Q9NVE5	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 22: Epididymis - Mixed function"	8.6	15.3	0.2	62587.9		medium	medium
USP42	ENSG00000106346	"Ubiquitin specific peptidase 42"	Q9H9J4	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	4.1	52.6	4.5				
USP45	ENSG00000123552	"Ubiquitin specific peptidase 45"	Q70EL2	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 61: Non-specific - Transcription"	5.7	55.7	3.5			medium	medium
USP46	ENSG00000109189	"Ubiquitin specific peptidase 46"	P62068	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 35: Non-specific - Mixed function"	13.6	11.2	0.0			medium	medium
USP47	ENSG00000170242	"Ubiquitin specific peptidase 47"	Q96K76	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 63: Non-specific - Basic cellular processes"	49.8	129.8	22.7	3656788.4	2866780.0	high	high
USP48	ENSG00000090686	"Ubiquitin specific peptidase 48"	Q86UV5	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 61: Non-specific - Transcription"	21.6	171.4	13.9	1041790.5		medium	medium
USP49	ENSG00000164663	"Ubiquitin specific peptidase 49"	Q70CQ1	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 32: Retina & Lymphoid tissues - Signaling"	2.6	4.7	0.0			medium	medium
USP5	ENSG00000111667	"Ubiquitin specific peptidase 5"	P45974	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 25: Non-specific - Basic cellular processes"	64.0	25.4	3.1	19806760.3	15177316.9	medium	medium
USP53	ENSG00000145390	"Ubiquitin specific peptidase 53"	Q70EK8	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 63: Non-specific - Basic cellular processes"	18.4	18.2	3.1			high	high
USP54	ENSG00000166348	"Ubiquitin specific peptidase 54"	Q70EL1	"Evidence at protein level"			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 25: Non-specific - Basic cellular processes"	122.6	38.1	0.2			high	high
USP6	ENSG00000129204	"Ubiquitin specific peptidase 6"	P35125	"Evidence at protein level"				"Cluster 25: Non-specific - Basic cellular processes"	19.0	0.4	1.5				
USP6NL	ENSG00000148429	"USP6 N-terminal like"	Q92738	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 11: Esophagus - Basic cellular processes"	1.6	142.8	7.7			medium	medium
USP7	ENSG00000187555	"Ubiquitin specific peptidase 7"	Q93009	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 39: Testis - Nuclear processes"	42.1	136.7	48.4	35120530.4	13088001.9	medium	medium
USP8	ENSG00000138592	"Ubiquitin specific peptidase 8"	P40818	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 69: Parathyroid gland - Mixed function"	17.0	99.9	13.7	359777.1		low	low
USP9X	ENSG00000124486	"Ubiquitin specific peptidase 9 X-linked"	Q93008	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	48.7	194.8	59.1	8403651.0	17038429.4	low	low
USP9Y	ENSG00000114374	"Ubiquitin specific peptidase 9 Y-linked"	O00507	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 64: Non-specific - Transcription"	6.0	279.7	0.0				
USPL1	ENSG00000132952	"Ubiquitin specific peptidase like 1"	Q5W0Q7	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 47: Testis - Mixed function"	7.2	57.4	7.3			low	low
UST	ENSG00000111962	"Uronyl 2-sulfotransferase"	Q9Y2C2	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 65: Brain - Transcription"	1.5	0.0	0.6			low	low
UTP11	ENSG00000183520	"UTP11 small subunit processome component"	Q9Y3A2	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 19: Skeletal muscle - Striated muscle contraction"	111.8	51.8	3.3	193811.0		high	high
UTP14A	ENSG00000156697	"UTP14A small subunit processome component"	Q9BVJ6	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 54: Non-specific - Ribosome"	11.7	48.2	4.8	1301265.8		low	low
UTP14C	ENSG00000253797	"UTP14C small subunit processome component"	Q5TAP6	"Evidence at protein level"				"Cluster 68: Non-specific - Basic cellular processes"	2.5	0.0	0.0			medium	medium
UTP15	ENSG00000164338	"UTP15 small subunit processome component"	Q8TED0	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 44: Bone marrow - Nuclear processes"	6.6	21.1	0.5	234174.5	34517.0		
UTP18	ENSG00000011260	"UTP18 small subunit processome component"	Q9Y5J1	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 39: Testis - Nuclear processes"	23.4	72.5	0.9	1578561.3		low	low
UTP20	ENSG00000120800	"UTP20 small subunit processome component"	O75691	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 39: Testis - Nuclear processes"	4.9	78.0	2.5	1128375.5			
UTP23	ENSG00000147679	"UTP23 small subunit processome component"	Q9BRU9	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 61: Non-specific - Transcription"	7.8	30.6	1.8				
UTP25	ENSG00000117597	"UTP25 small subunit processome component"	Q68CQ4	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 55: Breast - Lactation"	2.5	27.1	0.0			medium	medium
UTP3	ENSG00000132467	"UTP3 small subunit processome component"	Q9NQZ2	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 66: Lymphoid tissue - Immune response"	15.4	26.6	5.1	417946.3		medium	medium
UTP4	ENSG00000141076	"UTP4 small subunit processome component"	Q969X6	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	60.2	22.7	0.2	681780.6		"not detected"	"not detected"
UTP6	ENSG00000108651	"UTP6 small subunit processome component"	Q9NYH9	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 64: Non-specific - Transcription"	15.7	48.5	2.2			medium	medium
UTRN	ENSG00000152818	Utrophin	P46939	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 61: Non-specific - Transcription"	15.9	39.0	10.9	76658612.1		medium	medium
UTS2R	ENSG00000181408	"Urotensin 2 receptor"	Q9UKP6	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 48: Ciliated tissues - Cilium organization"	1.6	0.0	0.0				
UTY	ENSG00000183878	"Ubiquitously transcribed tetratricopeptide repeat containing, Y-linked"	O14607	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	4.4	173.6	15.6			"not detected"	"not detected"
UVRAG	ENSG00000198382	"UV radiation resistance associated"	Q9P2Y5	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 44: Bone marrow - Nuclear processes"	14.8	137.9	12.6	323973.5	2323410.1	"not detected"	"not detected"
UVSSA	ENSG00000163945	"UV stimulated scaffold protein A"	Q2YD98	"Evidence at protein level"			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 64: Non-specific - Transcription"	5.1	15.5	0.3	13925.1		medium	medium
UXS1	ENSG00000115652	"UDP-glucuronate decarboxylase 1"	Q8NBZ7	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 6: T-cells - T-cell receptor"	"Cluster 72: Kidney - Transmembrane transport"	29.9	42.0	0.5	586238.7		medium	medium
UXT	ENSG00000126756	"Ubiquitously expressed prefoldin like chaperone"	Q9UBK9	"Evidence at protein level"			"Cluster 18: Non-specific - Translation"	"Cluster 54: Non-specific - Ribosome"	126.5	153.5	35.7			medium	medium
VAC14	ENSG00000103043	"VAC14 component of PIKFYVE complex"	Q08AM6	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	23.6	46.7	2.1	2538393.3	2294454.7	"not detected"	"not detected"
VAMP1	ENSG00000139190	"Vesicle associated membrane protein 1"	P23763	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 3: Oligodendrocytes - Myelination"	8.9	3.5	0.2			high	high
VAMP2	ENSG00000220205	"Vesicle associated membrane protein 2"	P63027	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 46: Brain & retina - Neuronal signaling"	92.5	3.9	3.2	2298557.2			
VAMP3	ENSG00000049245	"Vesicle associated membrane protein 3"	Q15836	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 3: Oligodendrocytes - Myelination"	83.7	22.4	9.6				
VAMP4	ENSG00000117533	"Vesicle associated membrane protein 4"	O75379	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 27: Cerebellum - Synaptic function"	5.9	18.2	7.8			low	low
VAMP5	ENSG00000168899	"Vesicle associated membrane protein 5"	O95183	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 24: Non-specific - Transcription"	203.7	2.1	3.1	468042.1	1258343.7	medium	medium
VAMP7	ENSG00000124333	"Vesicle associated membrane protein 7"	P51809	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	20.9	27.2	7.9	703856.3	209903.0	"not detected"	"not detected"
VAMP8	ENSG00000118640	"Vesicle associated membrane protein 8"	Q9BV40	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 11: Esophagus - Basic cellular processes"	22.7	57.0	11.1			low	low
VANGL2	ENSG00000162738	"VANGL planar cell polarity protein 2"	Q9ULK5	"Evidence at protein level"				"Cluster 2: Non-specific - Mixed function"	1.7	0.0	0.0				
VAPA	ENSG00000101558	"VAMP associated protein A"	Q9P0L0	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	64.0	215.2	32.2	25220623.0	39560152.2	medium	medium
VAPB	ENSG00000124164	"VAMP associated protein B and C"	O95292	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 25: Non-specific - Basic cellular processes"	43.5	47.0	5.0	12528869.2	32718839.4	medium	medium
VARS1	ENSG00000204394	"Valyl-tRNA synthetase 1"	P26640	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 24: Non-specific - Transcription"	56.4	41.3	3.2	18176282.3	16072198.7	"not detected"	"not detected"
VARS2	ENSG00000137411	"Valyl-tRNA synthetase 2, mitochondrial"	Q5ST30	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 64: Non-specific - Transcription"	18.6	0.0	0.0	1203527.6	142279.3	low	low
VASH1	ENSG00000071246	"Vasohibin 1"	Q7L8A9	"Evidence at protein level"	"Secreted to blood"	Enzyme	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 46: Brain & retina - Neuronal signaling"	7.0	0.2	1.6			medium	medium
VASN	ENSG00000168140	Vasorin	Q6EMK4	"Evidence at protein level"	"Secreted - unknown location"	"No annotated function"		"Cluster 74: Non-specific - Signal transduction"	6.7	0.0	0.0			"not detected"	"not detected"
VASP	ENSG00000125753	"Vasodilator stimulated phosphoprotein"	P50552	"Evidence at protein level"			"Cluster 45: Eosinophils - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	12.8	12.0	7.9	8249930.3	201979.3	"not detected"	"not detected"
VAT1	ENSG00000108828	"Vesicle amine transport 1"	Q99536	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 4: Adrenal gland - Steroid metabolism"	28.2	21.0	0.1	11950929.2	535316.9	"not detected"	"not detected"
