Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
CDC14A	ENSG00000079335	"Cell division cycle 14A"	Q9UNH5	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 56: Ciliated tissues - Cilium organization"	2.3	109.8	8.1			medium	medium
CDC16	ENSG00000130177	"Cell division cycle 16"	Q13042	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 56: Ciliated tissues - Cilium organization"	38.0	74.0	4.1	120434.4		low	low
CDC23	ENSG00000094880	"Cell division cycle 23"	Q9UJX2	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 61: Non-specific - Transcription"	9.5	36.7	0.5	4382285.3	243169.9	medium	medium
CDC25B	ENSG00000101224	"Cell division cycle 25B"	P30305	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 64: Non-specific - Transcription"	10.2	12.8	3.6			low	low
CDC26	ENSG00000176386	"Cell division cycle 26"	Q8NHZ8	"Evidence at protein level"			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 76: Non-specific - Metabolism"	45.7	6.6	0.5			low	low
CDC27	ENSG00000004897	"Cell division cycle 27"	P30260	"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 61: Non-specific - Transcription"	20.9	358.7	51.2	283254.7		medium	medium
CDC34	ENSG00000099804	"Cell division cycle 34, ubiqiutin conjugating enzyme"	P49427	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 24: Non-specific - Transcription"	107.6	35.8	109.2	1021283.7	5338073.0	low	low
CDC37	ENSG00000105401	"Cell division cycle 37, HSP90 cochaperone"	Q16543	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 24: Non-specific - Transcription"	293.4	95.0	7.7	19729457.8	25448616.3	low	low
CDC37L1	ENSG00000106993	"Cell division cycle 37 like 1, HSP90 cochaperone"	Q7L3B6	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 45: Liver - Metabolism & Coagulation"	80.0	26.7	2.7	1248422.5	1095756.7	low	low
CDC40	ENSG00000168438	"Cell division cycle 40"	O60508	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 44: Bone marrow - Nuclear processes"	10.9	72.0	2.5	3113672.7			
CDC42	ENSG00000070831	"Cell division cycle 42"	P60953	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	87.9	10.5	3.3	12168934.1	9204541.8	medium	medium
CDC42BPA	ENSG00000143776	"CDC42 binding protein kinase alpha"	Q5VT25	"Evidence at protein level"				"Cluster 74: Non-specific - Signal transduction"	10.8	492.0	11.9	1178006.8		low	low
CDC42BPB	ENSG00000198752	"CDC42 binding protein kinase beta"	Q9Y5S2	"Evidence at protein level"				"Cluster 74: Non-specific - Signal transduction"	25.7	9.1	0.2	5521733.4		"not detected"	"not detected"
